indicatorId,geoUnit,year,value,qualifier,magnitude
GER.2T3,ABW,2001,97.55653381347656,,
GER.2T3,ABW,2002,100.1630630493164,,
GER.2T3,ABW,2003,101.929069519043,,
GER.2T3,ABW,2004,100.9409408569336,,
GER.2T3,ABW,2005,99.20535278320312,,
GER.2T3,ABW,2006,99.86575317382812,,
GER.2T3,ABW,2007,106.2364730834961,,
GER.2T3,ABW,2008,97.06275177001953,,
GER.2T3,ABW,2009,99.16021728515625,,
GER.2T3,ABW,2010,98.22074127197266,,
GER.2T3,ABW,2011,96.63391876220703,,
GER.2T3,ABW,2012,108.976188659668,,
GER.2T3,ABW,2018,137.8297882080078,,
GER.2T3,ABW,2019,139.3205871582031,,
GER.2T3,ABW,2020,135.1247253417969,,
GER.2T3,ABW,2021,123.6259078979492,,
GER.2T3,ABW,2022,131.8021697998047,,
GER.2T3,ABW,2024,124.3793667310837,,
GER.2T3,AFG,1970,8.364100456237793,,
GER.2T3,AFG,1971,9.378270149230957,,
GER.2T3,AFG,1972,10.41423988342285,,
GER.2T3,AFG,1973,10.93218040466309,,
GER.2T3,AFG,1974,11.09488010406494,,
GER.2T3,AFG,1975,11.59558963775635,,
GER.2T3,AFG,1976,12.45825958251953,,
GER.2T3,AFG,1977,13.25926971435547,,
GER.2T3,AFG,1978,13.82133960723877,,
GER.2T3,AFG,1980,16.73278045654297,,
GER.2T3,AFG,1981,20.09207916259766,,
GER.2T3,AFG,1982,12.29500007629395,,
GER.2T3,AFG,1984,13.64939975738525,,
GER.2T3,AFG,1985,13.49697017669678,,
GER.2T3,AFG,1986,12.13856983184814,,
GER.2T3,AFG,1988,13.21395969390869,,
GER.2T3,AFG,1989,12.68111991882324,,
GER.2T3,AFG,1990,11.03954982757568,,
GER.2T3,AFG,1991,17.1836109161377,,
GER.2T3,AFG,1993,17.41691017150879,,
GER.2T3,AFG,1994,23.46858024597168,,
GER.2T3,AFG,1995,23.05451965332031,,
GER.2T3,AFG,2001,14.04041004180908,,
GER.2T3,AFG,2003,13.95952987670898,UIS_EST,
GER.2T3,AFG,2004,19.21438026428223,,
GER.2T3,AFG,2005,20.27350997924805,,
GER.2T3,AFG,2006,29.52388954162598,,
GER.2T3,AFG,2007,28.81549072265625,,
GER.2T3,AFG,2008,38.93085098266602,,
GER.2T3,AFG,2009,44.29994964599609,,
GER.2T3,AFG,2010,50.44062042236328,,
GER.2T3,AFG,2011,52.44742965698242,,
GER.2T3,AFG,2012,54.37285995483398,,
GER.2T3,AFG,2013,54.88336944580078,,
GER.2T3,AFG,2014,54.29365158081055,,
GER.2T3,AFG,2015,53.15010833740234,,
GER.2T3,AFG,2016,53.43503952026367,,
GER.2T3,AFG,2017,55.53643035888672,NAT_EST,
GER.2T3,AFG,2018,57.35784912109375,,
GER.2T3,AGO,1971,6.158569812774658,,
GER.2T3,AGO,1972,6.828460216522217,,
GER.2T3,AGO,1973,7.660840034484863,,
GER.2T3,AGO,1978,8.472200393676758,,
GER.2T3,AGO,1980,10.83393955230713,,
GER.2T3,AGO,1981,13.9767599105835,,
GER.2T3,AGO,1982,9.976119995117188,,
GER.2T3,AGO,1983,9.172579765319824,,
GER.2T3,AGO,1984,11.54242992401123,,
GER.2T3,AGO,1985,9.992110252380371,,
GER.2T3,AGO,1986,11.4603796005249,,
GER.2T3,AGO,1987,11.17061042785645,,
GER.2T3,AGO,1988,9.440010070800781,,
GER.2T3,AGO,1989,10.44834041595459,,
GER.2T3,AGO,1990,9.642069816589355,,
GER.2T3,AGO,1991,10.17319965362549,,
GER.2T3,AGO,1992,11.44104957580566,,
GER.2T3,AGO,1998,11.89748001098633,,
GER.2T3,AGO,1999,11.77089023590088,,
GER.2T3,AGO,2000,13.36907005310059,,
GER.2T3,AGO,2001,15.00133991241455,,
GER.2T3,AGO,2002,16.14959907531738,UIS_EST,
GER.2T3,AGO,2008,22.79902076721191,,
GER.2T3,AGO,2009,24.3320198059082,,
GER.2T3,AGO,2010,28.21080387789321,,
GER.2T3,AGO,2011,29.68695178327471,,
GER.2T3,AGO,2016,54.41679873047534,,
GER.2T3,AGO,2021,53.13515427271312,,
GER.2T3,AGO,2023,51.48390462467765,,
GER.2T3,AIA,1993,107.7319564819336,,
GER.2T3,AIA,1997,115.1843795776367,,
GER.2T3,AIA,1999,99.59349822998047,,
GER.2T3,AIA,2000,107.9567794799805,UIS_EST,
GER.2T3,AIA,2001,103.3962326049805,,
GER.2T3,AIA,2002,99.0766372680664,UIS_EST,
GER.2T3,AIA,2003,101.0101013183594,UIS_EST,
GER.2T3,AIA,2004,101.6052932739258,,
GER.2T3,AIA,2005,100.293830871582,,
GER.2T3,AIA,2006,101.0121536254883,,
GER.2T3,AIA,2007,103.4090881347656,,
GER.2T3,AIA,2008,105.6603775024414,,
GER.2T3,AIA,2009,106.8678512573242,,
GER.2T3,AIA,2010,106.5239562988281,,
GER.2T3,AIA,2011,104.2322769165039,,
GER.2T3,AIA,2019,106.1909790039063,,
GER.2T3,AIA,2022,87.61988067626953,,
GER.2T3,AIMS: Asia and the Pacific,1970,41.38948822021484,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1971,26.5797290802002,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1972,29.12833023071289,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1973,31.52124977111816,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1974,47.51681900024414,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1975,33.07923126220703,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1976,34.63697052001953,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1977,36.60179901123047,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1978,37.18296051025391,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1979,46.84257888793945,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1980,34.7221794128418,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1981,33.93560028076172,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1982,33.39891815185547,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1983,34.04272079467773,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1984,34.2097282409668,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1985,42.16659927368164,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1986,36.67488861083984,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1987,38.30284881591797,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1988,39.38238906860352,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1989,39.97507858276367,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1990,45.81388092041016,UIS_EST,
GER.2T3,AIMS: Asia and the Pacific,1991,46.9279899597168,UIS_EST,
