number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23,ln_pl_i_23,alpha_23,g_meas_23,delta_23,lngd_meas_23
1,Algeria,1,1,0,2485,4371,4.8,2.6,24.1,4.5,3975.8060368927963,3.341534912105515,2.573516442116386,34.00807834696025,13.504585713580145,-1.5572865383707757,NaN,NA,0.04163513233652339,NA
2,Angola,1,0,0,1588,1171,0.8,2.1,5.8,1.8,11601.222524926518,2.7144748010834663,3.053154692648863,33.30106468940223,4.768253660006554,-1.3770837060874097,0.7150747207579788,-0.011599268956760111,0.04035666391805366,-2.8253324678079723
3,Benin,1,0,0,1116,1071,2.2,2.4,10.8,1.8,3783.8254255485276,4.791631696141474,2.7802495662486937,10.44737226329744,6.855874454564807,-1.0276015082609111,0.3725542087446563,0.008463772168497252,0.04494901339057833,-2.510651857136695
4,Botswana,1,1,0,959,3671,8.6,3.2,28.3,2.9,13186.82485165235,7.269338098945677,2.898016570669304,27.530819561798126,9.289146251489631,-1.1119269362687263,0.6807926986366506,-0.0010914009023077487,0.04120578843867406,-2.6722793755836247
5,Burkina Faso,1,0,0,529,857,2.9,0.9,12.7,0.4,1417.13583481693,4.069386338026626,2.454265537802147,12.637393805198366,4.26078221565459,-1.1514637598357342,0.5157301002182066,-4.208816221371592e-4,0.043737173080444336,-2.6903240393997607
6,Burundi,1,0,0,755,663,1.2,1.7,5.1,0.4,826.2579767412158,2.7324053790104053,2.5854413401734666,9.500624774955208,4.008992506927615,-1.2923121151379464,0.2992437292229043,-0.009247456308886792,0.034329229383729405,-2.9771816752764453
7,Cameroon,1,1,0,889,2190,5.7,2.1,12.8,3.4,1459.2183754580658,3.5224715706930088,2.71135650870451,15.511968708597127,8.578139722815335,-0.8177595723769298,0.40304845105856657,-0.0057540132696508595,0.04870749748079106,-2.658302648258673
8,Central Afr. Rep.,1,0,0,838,789,1.5,1.7,10.5,1.4,541.0433187072628,0.8709771535459154,1.5739381931290541,15.922944556223232,3.215301297794424,-1.162238529130023,0.795752555131912,-0.003263070027769377,0.04130008997162805,-2.922920534895259
9,Chad,1,0,0,908,462,-0.9,1.9,6.9,0.4,1572.623725771663,3.7560971261430653,2.855446565052211,11.458862622384913,4.276976896342726,-1.1179787505551728,0.5307838297449052,NA,0.04192713354132139,NA
10,"Congo,",1,0,0,1009,2624,6.2,2.4,28.8,3.8,1540.3754990669897,3.610211541094799,2.9167646233788203,22.76132667902857,14.529684218598835,-0.37737442636372914,NaN,NA,0.046244264405686415,NA
