iso3c,country,ln_pl_i_23,alpha_23,g_meas_23,delta_23
AGO,Angola,-1.3770837060874097,0.7150747207579788,-0.011599268956760111,0.04035666391805366
ARE,United Arab Emirates,-1.4959946205409385,NaN,NA,0.03225273138808983
ARG,Argentina,-0.49057540531112964,0.540481880772859,-0.00471642816624962,0.03425786961452104
AUS,Australia,-0.5781240299220001,0.3739702543243766,0.004131315346994846,0.02796636780840345
AUT,Austria,-0.6626282121156373,0.3819024683907628,0.007513806330294193,0.03808859363198281
BDI,Burundi,-1.2923121151379464,0.2992437292229043,-0.009247456308886792,0.034329229383729405
BEL,Belgium,-0.7577021016690461,0.35943873692303896,0.00866962349732514,0.04111420316621662
BEN,Benin,-1.0276015082609111,0.3725542087446563,0.008463772168497252,0.04494901339057833
BFA,Burkina Faso,-1.1514637598357342,0.5157301002182066,-4.208816221371592e-4,0.043737173080444336
BGD,Bangladesh,-1.4669034257728462,NaN,NA,0.04223358188755811
BHR,Bahrain,-0.9843127622985417,0.6845007444973343,-0.023865277930098405,0.03300623650904055
BOL,Bolivia (Plurinational State of),-1.1728224713025814,0.48324625892564654,-0.0031530738468233954,0.05022879666648806
BRA,Brazil,-1.1089845084137349,0.4637855850160124,-0.0012627051143082602,0.04826097434852272
BRB,Barbados,-0.6430923901376097,0.25344121828675303,0.003437010228338311,0.04175902111455798
BWA,Botswana,-1.1119269362687263,0.6807926986366506,-0.0010914009023077487,0.04120578843867406
CAF,Central African Republic,-1.162238529130023,0.795752555131912,-0.003263070027769377,0.04130008997162805
CAN,Canada,-0.7088205405236355,0.3138364190235734,0.0032615245127920467,0.03556537337135524
CHE,Switzerland,-0.583740089162697,0.34967921487987064,0.0028314188411182606,0.04788937227567658
CHL,Chile,-0.9709008860135678,0.5539228338748217,-0.0019129818547912736,0.029182602040236826
CIV,Côte d'Ivoire,-0.6791773251243268,0.4580904869362714,-0.006507271087409228,0.047233423916623
CMR,Cameroon,-0.8177595723769298,0.40304845105856657,-0.0057540132696508595,0.04870749748079106
COD,D.R. of the Congo,-1.2858732916807794,NaN,NA,0.022732324519893155
COG,Congo,-0.37737442636372914,NaN,NA,0.046244264405686415
COL,Colombia,-1.1887483580598963,0.5230062347836792,4.3202471882008986e-4,0.03239574498729781
CRI,Costa Rica,-1.0229754647564349,0.4485624865628779,-3.538005996044369e-4,0.04923597321612761
CYP,Cyprus,-1.058862211101015,0.46767658228054665,0.016183347435373197,0.036110687535256154
DEU,Germany,-0.6472702170013687,0.3378629395738243,0.010590318656630515,0.034109347441699356
DNK,Denmark,-0.5624572890455727,0.3605397343635558,0.006877805571288587,0.037212601338978864
DOM,Dominican Republic,-1.1791663076995058,0.44213154492899764,-0.002996041502375091,0.043614357709884644
DZA,Algeria,-1.5572865383707757,NaN,NA,0.04163513233652339
ECU,Ecuador,-1.347966867868568,0.4993787845596672,0.0058089428058549775,0.038660981983412064
